GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
software-craft-starter,com.example.craft.discount,StaffDiscountStrategy,0,17,1,1,0,5,1,2,0,2
software-craft-starter,com.example.craft.discount,DiscountStrategyFactory,0,28,0,6,0,8,0,5,0,2
software-craft-starter,com.example.craft.discount,NoDiscountStrategy,0,5,0,0,0,2,0,2,0,2
software-craft-starter,com.example.craft.discount,StudentDiscountStrategy,1,16,1,1,1,4,1,2,0,2
software-craft-starter,com.example.craft.discount,PremiumDiscountStrategy,0,40,1,3,0,10,1,4,0,3
software-craft-starter,com.example.craft.domain,Customer,0,27,0,0,0,10,0,5,0,5
software-craft-starter,com.example.craft.domain,PaymentType,0,21,0,0,0,4,0,1,0,1
software-craft-starter,com.example.craft.domain,DeliveryType,0,21,0,0,0,4,0,1,0,1
software-craft-starter,com.example.craft.domain,Order,0,42,0,0,0,14,0,7,0,7
software-craft-starter,com.example.craft.domain,OrderItem,3,18,0,0,1,7,1,3,1,3
software-craft-starter,com.example.craft.domain,CustomerType,0,27,0,0,0,5,0,1,0,1
software-craft-starter,com.example.craft,OrderProcessor,45,274,14,22,9,60,14,14,0,10
software-craft-starter,com.example.craft,Main,44,0,0,0,8,0,2,0,2,0
software-craft-starter,com.example.craft.delivery,NextDayDeliveryStrategy,13,0,2,0,3,0,3,0,2,0
software-craft-starter,com.example.craft.delivery,StandardDeliveryStrategy,0,13,0,2,0,3,0,3,0,2
software-craft-starter,com.example.craft.delivery,DeliveryStrategyFactory,11,23,2,4,2,6,2,4,0,2
software-craft-starter,com.example.craft.delivery,CollectionDeliveryStrategy,3,14,1,1,1,5,1,2,0,2
software-craft-starter,com.example.craft.Utils,Helper,3,13,0,0,1,1,1,1,1,1
software-craft-starter,com.example.craft.payments,BankTransferPaymentStrategy,18,0,2,0,6,0,3,0,2,0
software-craft-starter,com.example.craft.payments,CardPaymentStrategy,3,15,1,1,1,5,1,2,0,2
software-craft-starter,com.example.craft.payments,PaypalPaymentStrategy,20,0,2,0,6,0,3,0,2,0
software-craft-starter,com.example.craft.payments,PaymentStrategyFactory,15,12,3,1,3,3,3,2,0,2
